date,open,high,low,close,adj_close,volume
11/4/2004,72.16017151,100,100.5500031,98.44999695,99.37000275,4381500
11/5/2004,72.77354431,100.8499985,101.7399979,99.34999847,100.5,5101400
11/8/2004,72.31172943,100.2099991,100.8000031,99.77999878,100.4000015,2819200
11/9/2004,72.78797913,100.8700027,101.2799988,99.88999939,100.2200012,2826500
11/10/2004,72.70137787,100.75,101.3300018,100.3799973,100.9100037,2612000
11/11/2004,74.32498932,103,103.3000031,101.2099991,101.25,3966100
11/12/2004,75.52285767,104.6600037,104.9000015,103.2699966,103.4499969,4435100
11/15/2004,75.49401855,104.6200027,105.0999985,103.6500015,104.8499985,3208200
11/16/2004,74.84453583,103.7200012,104.6299973,103.4199982,104.6299973,3694200
11/17/2004,75.55892181,104.7099991,105.4000015,103.9400024,104.0500031,3666000
11/18/2004,75.64550018,104.8300018,104.9800034,104.1200027,104.9000015,2086700
11/19/2004,74.35385132,103.0400009,104.7699966,101.9100037,104.7699966,3579400
11/22/2004,74.6280365,103.4199982,103.9000015,102.1399994,102.75,2344000
11/23/2004,74.90948486,103.8099976,104.0699997,103.0800018,103.75,2628300
11/24/2004,75.76818848,105,105.2200012,104.0999985,104.0999985,2427600
11/26/2004,75.65271759,104.8399963,105.4000015,104.8300018,104.9499969,796200
11/29/2004,75.82595825,105.0800018,105.5899963,104.5100021,105.4300003,2881900
11/30/2004,75.59500885,104.7600021,105.3099976,104.5400009,104.5500031,2966500
12/1/2004,76.48977661,106,106.1500015,104.9599991,105.25,3123200
12/2/2004,76.92276001,106.5999985,107.4599991,105.8700027,106.0199966,3503400
12/3/2004,76.82894897,106.4700012,107.0800018,105.5100021,106.5999985,2728700
12/6/2004,77.3340683,107.1699982,107.7300034,106.3499985,107.0500031,2334600
12/7/2004,76.55476379,106.0899963,107.7900009,106.0899963,107.7200012,2280000
12/8/2004,76.98048401,106.6800003,107.6800003,105.9899979,106.5299988,3038900
12/9/2004,77.56495667,107.4899979,107.8199997,106.1900024,106.6900024,2581600
12/10/2004,78.94322205,109.4000015,109.9300003,107.2399979,108.5,3898700
12/13/2004,79.70089722,110.4499969,110.8799973,109.4400024,109.9499969,4202500
12/14/2004,79.28959656,109.8799973,110.4499969,109.6500015,110.4499969,4179100
12/15/2004,78.83501434,109.25,110.4100037,108.6600037,109.6500015,4820700
12/16/2004,76.05683136,105.4000015,107,104.6999969,106.1999969,8113500
12/17/2004,74.86618805,103.75,105.5899963,103,104,7853300
12/20/2004,74.89507294,103.7900009,105.0299988,103.0699997,103.7600021,4836200
12/21/2004,75.77540588,105.0100021,105.1900024,103.6800003,104,5247400
12/22/2004,75.3352356,104.4000015,105.5,104.2300034,104.4499969,3505200
12/23/2004,75.2991333,104.3499985,105.4100037,104.3499985,104.6500015,2011800
12/27/2004,75.19089508,104.1999969,105.0400009,103.8000031,104.9499969,1716700
12/28/2004,75.87644958,105.1500015,105.2099991,104.1999969,104.1999969,1806500
12/29/2004,75.51563263,104.6500015,105.1600037,104.3300018,104.9000015,1588100
12/30/2004,75.71044159,104.9199982,105.5899963,104.7799988,104.9000015,1629000
12/31/2004,75.07546234,104.0400009,105,104.0400009,104.9199982,1487400
1/3/2005,75.73213196,104.9499969,105.25,104.3399963,104.9000015,4225300
1/4/2005,75.24140167,104.2699966,105.1999969,103.9100037,104.8000031,5154200
1/5/2005,74.90229797,103.8000031,104.9800034,103.5800018,103.75,3649300
1/6/2005,75.93418121,105.2300034,105.25,103.9100037,103.9599991,3590100
1/7/2005,75.60945129,104.7799988,105.4599991,104.4000015,105.2300034,3075000
1/10/2005,75.75376892,104.9800034,105.4300003,104.2699966,104.2799988,2686200
1/11/2005,75.16925049,104.1699982,104.6800003,103.4000015,104.0500031,3132600
1/12/2005,74.51983643,103.2699966,104.2600021,102.4100037,104.0999985,3975800
1/13/2005,74.28170776,102.9400024,103.9599991,102.7799988,102.8000031,3256300
1/14/2005,75.20533752,104.2200012,104.3499985,102.9400024,103.0999985,2794400
1/18/2005,75.76818848,105,105.1800003,103.5599976,103.5999985,3224800
